wkt_geom;generator:source;generator:output
Point (11.09854580000000013 54.47188210000000197);solar;yes
Point (11.09918509999999969 54.47211610000000093);solar;yes
Point (11.09456020000000009 54.46111760000000146);solar;yes
Point (11.09380290000000002 54.46180340000000086);solar;yes
Point (11.11488630000000022 54.46122919999999823);solar;yes
Point (11.09368989999999933 54.46123680000000178);solar;yes
Point (11.11041720000000055 54.44981260000000134);solar;yes
Point (11.10914479999999926 54.45045240000000319);solar;yes
Point (11.08987770000000062 54.4473715000000027);solar;yes
Point (11.10983260000000072 54.44894479999999959);solar;yes
Point (8.96385000000000076 54.55334280000000291);wind;
Point (11.08969319999999925 54.44755250000000046);solar;yes
Point (10.89783669999999915 54.1480056999999988);wind;
Point (10.91743559999999924 54.14118880000000189);wind;
Point (10.56479530000000011 55.00086230000000143);solar;
Point (10.56454390000000032 54.19767079999999737);wind;
Point (9.90024799999999949 54.03965389999999758);biogas;
Point (9.0843070000000008 54.51358139999999963);wind;
Point (9.21209110000000031 54.66485500000000286);wind;
Point (9.20351939999999935 54.66530540000000116);wind;
Point (9.21805499999999967 54.66117710000000329);wind;
Point (9.20931269999999991 54.65983429999999998);wind;
Point (8.67180699999999938 53.88359779999999688);solar;
Point (9.20733719999999956 54.66878179999999787);wind;
Point (9.12387610000000038 54.53752790000000061);wind;
Point (9.12830549999999974 54.53783190000000047);wind;2
Point (9.25419929999999979 54.66767740000000231);wind;
Point (9.19815239999999967 54.4519227999999984);wind;2.3
Point (9.26580659999999945 54.11221429999999799);wind;3.3
Point (9.26437729999999959 54.11449830000000105);wind;3.3
Point (8.9026165000000006 54.23366899999999902);wind;
Point (11.05509999999999948 54.487712700000003);wind;2300
Point (8.89817470000000021 54.23868530000000021);wind;2300
Point (8.90113589999999988 54.23670390000000197);wind;2300
Point (8.89629719999999935 54.24089850000000013);wind;2300
Point (8.90120029999999929 54.24052859999999754);wind;2300
Point (8.8890551999999996 54.2405912999999984);wind;2300
Point (8.89333599999999969 54.24272299999999802);wind;2300
Point (8.91508340000000032 54.22850150000000014);wind;2300
Point (8.91115659999999998 54.22759839999999798);wind;2300
Point (10.22459150000000072 53.61918080000000231);waste;yes
Point (10.22332280000000004 53.61758660000000276);gas;10
Point (9.09337520000000055 54.77869050000000328);wind;
Point (9.90214570000000016 53.56276059999999717);hydro;yes
Point (9.09078689999999945 54.78222350000000063);wind;
Point (9.09902929999999976 54.77647830000000084);wind;
Point (9.09706590000000048 54.78559229999999758);wind;
Point (9.09579989999999938 54.78125519999999682);wind;
Point (8.60952550000000016 54.33049379999999928);solar;
Point (9.09762379999999915 54.78935359999999832);wind;
Point (9.52459980000000073 53.79182720000000018);wind;
Point (9.51975509999999936 53.79295160000000209);wind;
Point (9.55465680000000006 53.82756599999999736);wind;
Point (9.51993760000000044 53.79575570000000084);wind;
Point (9.56201949999999989 53.82077859999999703);wind;
Point (9.56703599999999987 53.82165520000000214);wind;
Point (9.0027702000000005 54.20930599999999799);wind;
Point (9.01015160000000037 54.21236780000000266);wind;
Point (9.04774570000000011 54.71279179999999798);wind;3000
Point (9.05095069999999957 54.71544569999999652);wind;3000
Point (9.07559050000000056 54.82660229999999757);wind;3000
Point (8.88723560000000035 54.78651210000000304);wind;3400
Point (9.0856546999999992 54.82435199999999753);wind;3000
Point (9.0770117999999993 54.82298409999999933);wind;3000
Point (9.03878779999999971 54.82740410000000253);wind;3000
Point (9.04257209999999922 54.83072150000000278);wind;3000
Point (9.01875590000000038 54.83006900000000172);wind;3000
Point (9.01230439999999966 54.82902690000000234);wind;3000
Point (8.99673250000000024 54.83022170000000273);wind;3000
Point (9.00527250000000024 54.83048699999999798);wind;3000
Point (8.98772989999999972 54.83704660000000075);wind;3000
Point (8.99951380000000078 54.83289489999999944);wind;3000
Point (8.73626589999999936 53.82023209999999835);wind;
Point (8.99310529999999986 54.83438459999999992);wind;3000
Point (8.72488260000000082 53.82027010000000189);wind;
Point (8.73424349999999983 53.81718240000000009);wind;
Point (8.65492539999999977 54.85946870000000075);wind;3400
Point (8.71710960000000057 53.81841909999999984);wind;
Point (8.64330409999999993 54.86439870000000241);wind;3400
Point (8.65534620000000032 54.86273789999999906);wind;3400
Point (8.64189069999999937 54.86076099999999656);wind;3400
Point (8.64412989999999937 54.8670125000000013);wind;3400
Point (8.64112189999999991 54.85412449999999751);wind;3400
Point (8.64128730000000012 54.85809189999999802);wind;3400
Point (8.64009790000000066 54.84548159999999939);wind;3400
Point (8.64075479999999985 54.85086559999999878);wind;3400
Point (8.63969209999999954 54.83974090000000245);wind;3400
Point (8.63958590000000015 54.84248900000000049);wind;3400
Point (8.84964880000000065 54.7319507999999999);wind;3300
Point (8.63866810000000029 54.83601349999999996);wind;2050
Point (8.85039519999999946 54.73752549999999673);wind;3300
Point (8.84685379999999988 54.73454569999999819);wind;3300
Point (8.84178789999999992 54.72606350000000219);wind;3300
Point (8.84950590000000048 54.72652209999999684);wind;3300
Point (8.85591420000000085 54.67014069999999748);wind;3400
Point (8.84253430000000051 54.72908979999999701);wind;3300
Point (8.88310279999999963 54.67105579999999776);wind;3400
Point (8.87795999999999985 54.67659780000000325);wind;3400
Point (8.87034389999999995 54.65685820000000206);wind;3075
Point (8.88364860000000078 54.66776300000000077);wind;3400
Point (9.16666799999999959 54.6849199999999982);wind;2050
Point (9.16754000000000069 54.67943439999999811);wind;2050
Point (9.17086560000000084 54.68053669999999755);wind;2000
Point (9.16854509999999934 54.68290360000000305);wind;2050
Point (8.89629009999999987 54.62008050000000026);wind;3300
Point (8.90563829999999967 54.61855940000000231);wind;3300
Point (8.90104310000000076 54.61443090000000211);wind;3300
Point (8.89884230000000009 54.61770640000000299);wind;3300
Point (8.9055149999999994 54.60903069999999815);wind;3300
Point (8.90275010000000044 54.61208069999999992);wind;3300
Point (9.24471029999999949 54.57942769999999655);wind;3400
Point (8.90803499999999993 54.60537550000000095);wind;3300
Point (9.24837879999999934 54.5848300999999978);wind;3400
Point (9.24350339999999981 54.58595280000000116);wind;3400
Point (9.24131189999999947 54.58190350000000279);wind;3400
Point (9.24653660000000066 54.58213359999999881);wind;3400
Point (9.22773160000000026 54.5731552000000022);wind;2500
Point (9.23878689999999914 54.58447120000000297);wind;3400
Point (9.21614499999999914 54.57493310000000264);wind;2500
Point (9.22231440000000013 54.57467350000000295);wind;2500
Point (9.21349799999999952 54.5717464000000021);wind;2500
Point (9.21820149999999927 54.57120350000000286);wind;2500
Point (9.20460019999999979 54.57323360000000179);wind;2500
Point (9.20887600000000006 54.57201789999999875);wind;2500
Point (9.18988700000000058 54.74472550000000126);wind;3400
Point (9.20994510000000055 54.8521718000000007);wind;3050
Point (9.19354069999999979 54.74228200000000299);wind;3400
Point (9.18694449999999918 54.74214930000000123);wind;3400
Point (9.24245999999999945 54.67084640000000206);wind;3050
Point (9.18879349999999917 54.73140089999999702);wind;3400
Point (9.19876469999999991 54.66837019999999825);wind;2300
Point (9.23623730000000087 54.66704920000000101);wind;3050
Point (9.19967630000000014 54.67104659999999683);wind;2300
Point (9.1960298999999992 54.66964349999999939);wind;2300
Point (9.30200370000000021 54.72028879999999873);wind;3200
Point (8.93926820000000077 54.58350389999999663);wind;
Point (10.78640700000000052 54.17985550000000217);wind;3
Point (9.29118320000000075 54.71989479999999872);wind;3200
Point (8.78473450000000078 54.34415130000000005);;
Point (8.78474310000000003 54.34423110000000179);;
Point (8.78523159999999947 54.3441369000000023);;
Point (8.78524099999999919 54.34422169999999852);;
Point (8.97317199999999993 54.61961989999999645);solar;
Point (9.0956791999999993 54.67608909999999867);solar;
Point (8.97243980000000008 54.6213444999999993);solar;
Point (8.97250410000000009 54.62202229999999759);solar;
Point (9.15278610000000015 54.84729800000000211);wind;
Point (9.14969089999999952 54.85197000000000145);wind;
Point (8.90714679999999959 54.74866579999999772);solar;
Point (8.90732239999999997 54.74886479999999978);solar;
Point (11.05669229999999992 53.44085259999999948);biogas;
Point (10.94466060000000063 53.44030419999999992);biogas;yes
Point (11.0733479999999993 53.52667000000000286);biogas;
Point (11.05022220000000033 53.53064200000000028);biogas;
Point (8.99033679999999968 54.56421449999999851);solar;
Point (10.78903760000000034 53.58518010000000231);wind;
Point (8.98467600000000033 54.56175269999999955);solar;
Point (8.98975740000000023 54.56384520000000293);solar;
Point (8.99305790000000016 54.58703489999999903);solar;
Point (8.99321349999999953 54.58692299999999875);solar;
Point (8.99273870000000031 54.58728519999999662);solar;
Point (8.99290500000000037 54.58715459999999808);solar;
Point (8.99382499999999929 54.58754160000000155);solar;
Point (8.99329529999999977 54.58771649999999909);solar;
Point (8.99212720000000054 54.58746390000000304);solar;
Point (8.99394840000000073 54.58738000000000312);solar;
Point (8.99287419999999926 54.5867908999999969);solar;
Point (8.99266760000000076 54.58747089999999957);solar;
Point (10.78843149999999973 53.58295540000000301);wind;
Point (8.99246109999999987 54.58716859999999826);solar;
Point (11.09167169999999913 54.49539240000000007);solar;yes
Point (11.09161540000000024 54.49511509999999959);solar;yes
Point (11.09226720000000022 54.49581770000000347);solar;yes
Point (11.09185410000000083 54.49593610000000155);solar;yes
Point (11.08822510000000072 54.49895479999999992);solar;yes
Point (11.09022069999999971 54.49635349999999789);solar;yes
Point (11.0886724000000001 54.50060150000000192);solar;yes
Point (11.08924430000000072 54.49904980000000165);solar;yes
Point (11.08646219999999971 54.49761560000000316);solar;yes
Point (11.08582789999999996 54.50004309999999919);solar;yes
Point (11.08486360000000026 54.49661869999999908);solar;yes
Point (11.08162349999999918 54.49583359999999743);solar;yes
Point (11.08113329999999941 54.50073199999999929);solar;yes
Point (11.08438079999999992 54.49631339999999824);solar;yes
Point (11.08270880000000069 54.49804129999999702);solar;yes
Point (11.0822958000000007 54.49883570000000077);solar;yes
Point (10.81117099999999986 53.88279630000000253);solar;100
Point (10.81381550000000047 53.88280199999999809);solar;130
Point (10.69373180000000012 53.83419190000000043);solar;15
Point (10.69460620000000084 53.83449099999999987);solar;yes
Point (10.71741289999999935 53.84585969999999833);solar;13
Point (10.69827440000000074 53.838140199999998);solar;15
Point (10.70675660000000029 53.85163029999999651);solar;3.5
Point (10.71897889999999975 53.8467456999999996);solar;4.5
Point (10.70899409999999996 53.8541329000000033);solar;6
Point (10.72064819999999941 53.8471769000000009);solar;11
Point (10.71064649999999929 53.85403259999999648);solar;6.5
Point (10.71009270000000058 53.85316929999999758);solar;3.5
Point (10.70579460000000083 53.84510029999999858);solar;9.5
Point (10.7108194000000001 53.85393760000000185);solar;5
Point (10.70561219999999913 53.84507339999999687);solar;8
Point (10.70603060000000006 53.84513669999999763);solar;yes
Point (10.70912859999999966 53.85122679999999917);solar;10
Point (10.70700940000000045 53.84436050000000051);solar;26
Point (10.71357929999999925 53.85158799999999957);solar;6
Point (10.71543119999999938 53.85125140000000243);solar;2.5
Point (10.71429269999999967 53.85174940000000277);solar;4
Point (10.71248349999999938 53.85228959999999887);solar;3.5
Point (10.71402179999999937 53.85185690000000136);solar;4
Point (10.67467090000000063 53.83769079999999718);solar;4.5
Point (10.67408080000000048 53.83752299999999735);solar;7
Point (10.71631370000000061 53.8537329999999983);solar;5.5
Point (10.67495070000000013 53.83679860000000161);solar;9
Point (10.67447780000000002 53.83701339999999647);solar;14
Point (10.71618280000000034 53.85144669999999678);solar;6
Point (10.67442139999999995 53.83777150000000233);solar;10
Point (10.66369139999999938 53.85215900000000033);solar;4
Point (10.66426739999999995 53.85173220000000072);solar;4
Point (10.70051229999999975 53.8644997000000032);solar;3
Point (10.6891380999999992 53.8613617999999974);solar;2
Point (10.98022100000000023 54.29678210000000149);wind;2
Point (11.09098389999999945 54.86586309999999855);wind;
Point (10.97610760000000063 54.29628369999999649);wind;2
Point (10.97911060000000028 54.29445499999999925);wind;2
Point (10.26981080000000013 53.45042310000000185);wind;2
Point (10.26881539999999937 53.44762190000000146);wind;2
Point (10.26451909999999934 53.4524905999999973);wind;2
Point (10.2633883000000008 53.44957070000000243);wind;2
Point (10.25861830000000019 53.45495449999999948);wind;2
Point (10.25744289999999914 53.45157609999999693);wind;2
Point (10.09615739999999917 53.45725070000000301);wind;2.4
Point (10.10634980000000027 53.45407740000000274);wind;2.4
Point (10.08890449999999994 53.4614709000000019);wind;2.4
Point (10.09250590000000081 53.4589574999999968);wind;2.4
Point (9.85625779999999985 53.49922839999999979);wind;3.3
Point (10.08509309999999992 53.46347529999999892);wind;2.4
Point (9.6118743999999996 53.46238960000000162);wind;3
Point (9.85540250000000029 53.4966740999999999);wind;3300
Point (9.58080190000000087 53.46104110000000276);wind;3
Point (9.60671439999999954 53.4644061999999991);wind;3
Point (9.25897289999999984 53.47293810000000036);wind;3.3
Point (9.26954989999999945 53.47685270000000202);wind;3.3
Point (9.25743319999999947 53.48009960000000262);wind;3.3
Point (9.26250420000000041 53.47628490000000312);wind;3.3
Point (9.64633399999999952 54.35999790000000331);solar;
Point (9.72650939999999942 54.30022490000000346);solar;small_installation
Point (9.63813189999999942 54.35446799999999712);solar;
Point (9.63857169999999996 54.35453989999999891);solar;
Point (9.64220339999999965 54.35779099999999886);solar;
Point (9.63643940000000043 54.35509009999999819);solar;
Point (9.64124860000000083 54.35800050000000283);solar;
Point (9.64247169999999976 54.35833180000000198);solar;
Point (9.64166160000000083 54.36013700000000171);solar;
Point (9.07125770000000031 54.49329159999999916);solar;yes
Point (9.29971439999999916 53.90472280000000183);wind;3
Point (9.64194329999999944 54.36093410000000148);solar;
Point (9.3046016999999992 53.89626770000000278);wind;3
Point (9.30451090000000036 53.9004177999999996);wind;3
Point (8.98106529999999914 53.97843859999999694);wind;3400
Point (9.27120979999999939 53.89877320000000083);wind;2500
Point (8.44241919999999979 53.96214940000000126);solar;
Point (8.43942050000000066 53.96117579999999947);solar;
Point (9.14721469999999925 54.46593370000000078);wind;3400
Point (9.15129589999999915 54.46493110000000115);wind;3400
Point (9.16485800000000062 54.46646839999999656);wind;3200
Point (9.16328279999999928 54.46897950000000321);wind;3200
Point (9.15730259999999952 54.45715510000000137);wind;3200
Point (9.15904480000000021 54.4657709999999966);wind;3200
Point (9.18345899999999915 54.47888710000000145);wind;3400
Point (9.18676920000000052 54.4764482000000001);wind;3200
Point (9.17909090000000027 54.48016590000000292);wind;3400
Point (9.17786229999999925 54.47782629999999671);wind;3200
Point (9.17219739999999994 54.48468619999999873);wind;3300
Point (9.17429620000000057 54.4806714999999997);wind;3300
Point (9.16956970000000027 54.48263430000000085);wind;3200
Point (9.16900659999999945 54.47992800000000102);wind;3200
Point (9.15273089999999989 54.48921940000000319);wind;3400
Point (9.16492859999999965 54.48264420000000285);wind;3200
Point (9.15761460000000049 54.49371409999999827);wind;3400
Point (9.15808840000000046 54.49078589999999878);wind;3400
Point (9.16563260000000035 54.49516760000000204);wind;3400
Point (9.1652559999999994 54.49770749999999708);wind;3400
Point (9.25847279999999984 54.50762029999999925);wind;2300
Point (9.16528029999999916 54.49264869999999661);wind;3400
Point (9.25754599999999961 54.5037097000000017);wind;2300
Point (9.25520949999999942 54.50217099999999704);wind;2300
Point (9.25300359999999955 54.50453579999999931);wind;2300
Point (9.25116309999999942 54.50280010000000175);wind;2300
Point (9.24923609999999918 54.52772339999999929);wind;2500
Point (9.24488949999999932 54.5289051000000029);wind;2500
Point (9.23103880000000032 54.53236040000000173);wind;3200
Point (9.2307813000000003 54.52488929999999812);wind;3200
Point (9.23350650000000073 54.53033090000000271);wind;3200
Point (9.23260529999999946 54.52746700000000146);wind;3200
Point (9.22438409999999998 54.52214870000000246);wind;2300
Point (9.22058610000000023 54.52203659999999985);wind;2300
Point (9.25826099999999919 54.531062900000002);wind;2500
Point (9.25289779999999951 54.52818080000000123);wind;2500
Point (8.9543323000000008 54.24386259999999993);wind;2300
Point (10.01766439999999925 54.15095589999999959);solar;yes
Point (8.94157629999999948 54.39143279999999692);wind;2300
Point (8.94094459999999991 54.39326450000000079);wind;2300
Point (8.93704299999999918 54.38799269999999808);wind;2300
Point (8.9386284000000007 54.38998329999999726);wind;2300
Point (8.94328810000000018 54.40521499999999833);wind;1000
Point (8.93497460000000032 54.39016360000000105);wind;2300
Point (9.03028029999999937 54.44752640000000099);wind;3600
Point (9.04143810000000059 54.445874400000001);wind;3200
Point (9.05241709999999955 54.72634419999999977);wind;3000
Point (9.03274009999999983 54.45225159999999676);wind;3600
Point (9.05459459999999972 54.72097459999999813);wind;3000
Point (9.05176160000000074 54.7233506000000034);wind;3000
Point (9.05617930000000015 54.71474429999999955);wind;3000
Point (9.05589600000000061 54.7179756000000026);wind;3000
Point (9.33275970000000044 53.50095029999999952);wind;3
Point (9.3419907000000002 53.50057859999999721);wind;3
Point (9.33465239999999952 53.50389270000000153);wind;3
Point (9.32846529999999952 53.50037569999999931);wind;3
Point (9.3235051999999996 53.50508049999999827);wind;3
Point (9.3246146999999997 53.50128409999999946);wind;3
Point (9.33395950000000063 53.50720880000000079);wind;3
Point (9.32863500000000023 53.50631489999999957);wind;3
Point (9.24496189999999984 53.79386389999999807);wind;3.2
Point (9.19659309999999941 53.58733200000000352);wind;3.45
Point (9.36445750000000032 53.68883550000000326);wind;3
Point (9.24912469999999942 53.7939019000000016);wind;3.2
Point (9.36508519999999933 53.69149170000000026);wind;3
Point (9.36230660000000015 53.69442339999999803);wind;3
Point (9.37285959999999996 53.69072150000000221);wind;3
Point (9.36740570000000083 53.69396840000000282);wind;2.35
Point (10.25981319999999997 53.90610590000000002);;
Point (9.37104159999999986 53.68868230000000352);wind;3
Point (8.92049590000000059 53.45581430000000012);wind;2.85
Point (8.91747029999999974 53.45233890000000088);wind;2.85
Point (8.91903680000000065 53.45916170000000278);wind;2.85
Point (8.92708340000000078 53.45932779999999696);wind;2.85
Point (8.95930970000000038 53.53316110000000094);wind;3
Point (8.96449750000000023 53.53201030000000316);wind;3
Point (8.96892829999999996 53.53872650000000277);wind;3
Point (8.97486989999999984 53.53822590000000048);wind;3
Point (8.96136339999999976 53.53698550000000012);wind;3
Point (8.9672111000000001 53.53550380000000075);wind;3
Point (8.96332810000000002 53.54587020000000308);wind;3
Point (8.96303419999999917 53.5418801000000002);wind;3
Point (8.95366190000000017 53.54571219999999698);wind;3
Point (8.95726819999999968 53.54796029999999973);wind;3
Point (8.95425329999999953 53.5432036999999994);wind;3
Point (8.94959700000000069 53.54140590000000088);wind;3
Point (8.94418959999999963 53.53668770000000166);wind;3
Point (8.9530302000000006 53.53936569999999762);wind;3
Point (8.93843900000000069 53.53885559999999799);wind;3
Point (8.93745189999999923 53.53565480000000321);wind;3
Point (8.30897490000000083 53.58157320000000112);wind;2.3
Point (8.30711690000000047 53.58329379999999986);wind;2.3
Point (8.30400430000000078 53.58071999999999946);wind;2.3
Point (8.3070453999999998 53.57927740000000227);wind;2.3
Point (8.30502760000000073 53.58505720000000139);wind;2.3
Point (8.30297999999999981 53.5829827000000023);wind;2.3
Point (8.26043100000000052 53.58959629999999663);wind;2.3
Point (8.26315160000000049 53.59146419999999722);wind;2.3
Point (10.6949197999999992 53.87022859999999724);solar;14
Point (8.26202190000000058 53.58828249999999827);wind;2.3
Point (8.35182739999999946 53.49406859999999853);wind;2.3
Point (8.35756360000000065 53.49408470000000193);wind;2.3
Point (8.35037140000000022 53.49097359999999668);wind;2.3
Point (8.35576859999999932 53.49088129999999808);wind;2.3
Point (8.33993240000000036 53.46681499999999687);wind;2.3
Point (8.34111260000000065 53.46980390000000227);wind;2.3
Point (10.71138889999999932 53.89593750000000227);solar;400
Point (10.68307000000000073 53.87843509999999725);solar;320
Point (10.72903570000000073 53.95244300000000237);solar;yes
Point (10.73149609999999932 53.95429810000000259);solar;12
Point (10.73782470000000089 53.94774199999999809);solar;yes
Point (10.73082589999999925 53.95282439999999724);solar;yes
Point (10.73423780000000072 53.9492699999999985);solar;yes
Point (10.73404870000000066 53.94947239999999766);solar;yes
Point (10.73723659999999924 53.94763069999999772);solar;yes
Point (10.73833020000000005 53.94852530000000002);solar;yes
Point (10.73263820000000024 53.94909830000000284);solar;yes
Point (10.68339600000000011 53.8258057999999977);solar;yes
Point (10.73140800000000006 53.95010249999999985);solar;yes
Point (10.73242210000000085 53.95016480000000314);solar;yes
Point (10.73456159999999926 53.95107999999999748);solar;7.04
Point (10.73372660000000067 53.95126619999999917);solar;yes
Point (10.73042120000000033 53.94792120000000324);solar;yes
Point (10.72931460000000037 53.94762699999999711);solar;yes
Point (10.68374859999999948 53.82635549999999824);solar;5.25
Point (10.68412149999999983 53.82603089999999924);solar;yes
Point (10.68339459999999974 53.82699670000000225);solar;yes
Point (10.68370029999999993 53.82705210000000307);solar;yes
Point (10.68277329999999914 53.8231814999999969);solar;yes
Point (10.68363689999999977 53.82206690000000293);solar;yes
Point (10.61669619999999981 53.83701659999999833);solar;7.5
Point (10.68407949999999929 53.82378469999999737);solar;yes
Point (10.61903509999999962 53.83813839999999828);solar;7.5
Point (10.61332179999999958 53.83482240000000019);solar;7.5
Point (10.68848239999999983 53.84955360000000013);gas;800
Point (10.64251280000000044 53.84562629999999928);gas;2
Point (9.91574050000000007 54.707881399999998);wind;
Point (10.66950929999999964 53.85913209999999651);gas;2
Point (9.9126183999999995 54.70970369999999861);wind;
Point (9.91971009999999964 54.70846410000000049);wind;
Point (9.91173859999999962 54.7073482999999996);wind;
Point (9.91893770000000075 54.71070160000000016);wind;
Point (10.7120432000000001 53.84952140000000043);solar;3.7
Point (10.71891579999999955 53.84818150000000259);solar;2.5
Point (10.71215729999999944 53.84905640000000204);solar;4.5
Point (10.71229029999999938 53.84924560000000326);solar;1
Point (10.72204009999999919 53.86685219999999674);solar;80
Point (10.70671749999999989 53.85096599999999967);solar;2
Point (10.72951989999999967 53.86250439999999884);solar;4.7
Point (10.74165999999999954 53.86164360000000073);solar;3
Point (10.66803980000000074 53.86799700000000257);solar;9.3
Point (10.69793450000000057 53.83870269999999891);solar;13
Point (10.69135419999999925 53.89277549999999906);solar;300
Point (10.69825469999999967 53.83626890000000031);solar;150
Point (10.63277300000000025 53.8594415999999967);solar;46.5
Point (10.66788470000000011 53.86800709999999981);solar;8.5
Point (10.63562199999999969 53.8592039999999983);solar;22.5
Point (10.63005169999999922 53.85982349999999741);solar;45
Point (10.73632210000000065 53.91241430000000179);solar;413
Point (10.73205740000000041 53.91176260000000298);solar;133
Point (10.66623970000000021 53.87002700000000033);solar;32
Point (10.69526929999999965 53.86927519999999703);solar;18
Point (10.6780267999999996 53.86886119999999778);solar;43
Point (10.66761029999999977 53.86983560000000182);solar;62
Point (10.69511220000000051 53.86984329999999943);solar;22.5
Point (10.69503399999999971 53.87000249999999824);solar;22.5
Point (10.81159429999999944 53.88317299999999932);solar;40
Point (10.69516899999999993 53.86969940000000179);solar;22.5
Point (9.34445329999999963 54.47415329999999756);wind;
Point (8.95164749999999998 54.59654100000000199);wind;3.3
Point (8.74569119999999955 53.59239399999999875);biomass;
Point (9.34468290000000046 54.47272980000000331);wind;
Point (10.06493970000000004 53.52698680000000309);oil;
Point (10.06508490000000045 53.52720409999999873);gas;
Point (9.95106280000000076 53.48938460000000106);coal;865
Point (9.95044410000000035 53.49017210000000233);coal;865
Point (9.72443490000000033 53.56653490000000062);coal;yes
Point (9.72459820000000086 53.56724770000000291);coal;yes
Point (9.72862029999999933 53.56616739999999766);gas;yes
Point (9.72860569999999925 53.56641669999999777);gas;yes
Point (8.92298249999999982 54.60071980000000025);wind;3.3
Point (9.63842170000000031 54.25514239999999688);biogas;
Point (8.91627710000000029 54.59613900000000086);wind;3.3
Point (8.92325950000000034 54.5975863999999973);wind;3.3
Point (9.39123580000000047 53.86483059999999767);wind;
Point (8.71021569999999912 54.39090840000000071);wind;
Point (10.45718470000000089 53.77408979999999872);wind;1500
Point (10.45570299999999975 53.77603770000000338);wind;1500
Point (9.08356260000000049 54.00614730000000208);wind;3200
Point (10.4495509000000002 53.77378099999999961);wind;1500
Point (9.08523229999999948 54.00349789999999928);wind;3200
Point (9.07915460000000074 54.0038423000000023);wind;3200
Point (9.53438489999999916 54.638810399999997);wind;
Point (9.06648910000000008 54.00286100000000289);wind;3200
Point (9.41387530000000083 54.54231359999999995);wind;
Point (9.41303289999999926 54.54394700000000284);wind;
Point (9.24931190000000036 54.18692109999999929);wind;
Point (9.4382520999999997 54.56828970000000112);wind;
Point (9.2586668999999997 54.50562920000000133);wind;2300
Point (10.56954089999999979 54.15678520000000162);biomass;
Point (9.07014670000000045 54.00570100000000195);wind;3200
Point (9.28887049999999981 54.46851680000000329);wind;
Point (9.06349499999999964 54.0004503999999983);wind;3200
Point (9.07259739999999937 54.00263429999999687);wind;3200
Point (9.08723690000000062 53.99972869999999858);wind;3200
Point (9.06958900000000057 54.00002930000000134);wind;3200
Point (9.30212930000000071 53.44023620000000108);biomass;
Point (9.30172160000000048 53.44039790000000067);biogas;yes
Point (9.04845579999999927 53.53479269999999701);biogas;yes
Point (9.06958939999999991 53.54114400000000273);biogas;yes
Point (9.11510819999999988 53.51324379999999792);biogas;yes
Point (9.01041249999999927 53.53093830000000253);biogas;yes
Point (9.18954399999999971 53.50485450000000043);biogas;
Point (9.20690470000000083 53.50789480000000253);biogas;yes
Point (9.01013939999999991 54.25732810000000228);wind;
Point (9.18650069999999985 53.47170619999999985);biogas;yes
Point (9.00370490000000068 54.29381779999999935);wind;
Point (9.00492329999999974 54.29512419999999651);wind;
Point (8.99895889999999987 54.28985709999999898);wind;
Point (9.00145230000000041 54.29166800000000137);wind;
Point (9.02452830000000006 54.27212670000000116);wind;
Point (8.99274300000000082 54.28955109999999706);wind;
Point (8.90635200000000005 54.24822799999999745);wind;
Point (8.90319060000000029 54.24498640000000194);wind;
Point (8.88691919999999946 54.20667499999999706);wind;
Point (8.87166619999999995 54.22579939999999965);wind;
Point (9.08495989999999942 54.8179489999999987);wind;3.17
Point (9.63474060000000065 54.6241338999999968);wind;
Point (9.14512069999999966 54.78949579999999742);wind;3.17
Point (9.14584059999999965 54.7864099999999965);wind;3.17
Point (9.1348382000000008 54.79201460000000168);wind;3.17
Point (9.09401500000000063 54.81592260000000039);wind;3.17
Point (9.08839309999999934 54.81550099999999759);wind;3.17
Point (9.0869339999999994 54.82113859999999761);wind;3.17
Point (9.86657740000000061 54.72296579999999722);biogas;
Point (9.14008459999999978 54.79164469999999909);wind;3.17
Point (10.87383389999999928 53.96562689999999662);gas;2
Point (11.06814050000000016 54.27671349999999961);wind;
Point (9.37561280000000075 53.48149680000000217);wind;
Point (10.08138789999999929 53.8157051000000024);biogas;yes
Point (9.34670930000000055 53.48368030000000317);wind;
Point (9.36449769999999937 53.48512310000000269);wind;
Point (9.35585030000000017 53.49219589999999869);wind;
Point (9.35136559999999939 53.49340870000000336);wind;
Point (9.34743890000000022 53.48692330000000084);wind;
Point (9.36788810000000005 53.48129250000000212);wind;
Point (9.35237419999999986 53.49010229999999666);wind;
Point (9.35932640000000049 53.49045979999999645);wind;
Point (9.3616653000000003 53.48821279999999945);wind;
Point (9.35364019999999918 53.48706380000000138);wind;
Point (9.94289829999999952 53.53264209999999679);wind;3
Point (9.35651550000000043 53.48431870000000288);wind;
Point (9.30830049999999964 54.72700830000000138);wind;6200
Point (9.30667749999999927 54.72165669999999693);wind;6200
Point (9.1730280000000004 54.4913433999999981);wind;
Point (11.01586379999999998 54.45128880000000038);wind;
Point (8.98444630000000011 54.44178169999999994);wind;3
Point (8.97937429999999992 54.44603730000000041);wind;3
Point (9.16899399999999964 54.49976759999999842);wind;
Point (9.17300660000000079 54.49376120000000157);wind;
Point (9.17244870000000034 54.49794829999999735);wind;
Point (8.97815139999999978 54.44380770000000069);wind;3
Point (9.03457760000000043 54.46893759999999673);wind;
Point (8.98577019999999926 54.44437279999999646);wind;3
Point (9.38685579999999931 54.51933590000000152);wind;
Point (9.41475759999999973 54.54064170000000189);wind;
