wkt_geom;generator:source;generator:output
Point (10.79333600000000004 53.94189060000000069);wind;600
Point (8.5761883000000001 53.79657770000000028);wind;600
Point (11.05143969999999953 54.33910019999999719);wind;600
Point (8.57802260000000061 53.79147240000000352);wind;600
Point (8.57909249999999979 53.79715050000000076);wind;600
Point (8.57631379999999943 53.79354759999999658);wind;600
Point (8.58373740000000041 53.7921024999999986);wind;600
Point (9.67193100000000072 54.6147319999999965);wind;600
Point (8.57610290000000042 53.79533419999999921);wind;600
Point (8.92798849999999966 54.58688870000000293);wind;55
Point (9.67165999999999926 54.61235200000000134);wind;600
Point (9.18863020000000041 53.82879140000000007);wind;600
Point (9.18776350000000086 53.82480809999999849);wind;600
Point (8.58369500000000052 53.79486090000000331);wind;600
Point (9.18817570000000039 53.82679619999999687);wind;600
Point (8.58343230000000013 53.7887636000000029);wind;600
Point (8.58382180000000083 53.79342419999999692);wind;600
Point (8.58098979999999933 53.78529259999999823);wind;600
Point (8.58371969999999962 53.79091069999999775);wind;600
Point (8.57715400000000017 53.78572859999999878);wind;600
Point (8.58326300000000053 53.78740700000000174);wind;600
Point (8.57718389999999964 53.78735859999999747);wind;600
Point (8.57922139999999978 53.78389829999999705);wind;600
Point (9.14533699999999961 53.79122079999999784);wind;600
Point (8.57700479999999921 53.78929250000000195);wind;600
Point (9.14472480000000054 53.79277909999999707);wind;600
Point (9.14454319999999932 53.79448219999999736);wind;600
Point (9.29300579999999954 53.79292879999999855);wind;600
Point (9.29174450000000007 53.79134400000000227);wind;600
Point (8.96694609999999948 54.28580639999999846);wind;660
Point (9.28921500000000044 53.78819200000000222);wind;600
Point (9.64871899999999982 54.77226699999999937);wind;200
Point (9.50015499999999946 54.54890600000000234);wind;200
Point (10.96053329999999981 53.84032969999999807);wind;600
Point (9.27133139999999933 53.78720849999999842);wind;600
Point (8.40180510000000069 53.54942909999999756);wind;600
Point (8.39901760000000053 53.55327369999999831);wind;600
Point (8.39592129999999948 53.55218789999999984);wind;600
Point (8.39533899999999988 53.55360139999999802);wind;600
Point (8.39994669999999921 53.55032520000000318);wind;600
Point (8.39777920000000044 53.55135210000000257);wind;600
Point (9.27288399999999946 53.78835600000000028);wind;600
Point (10.96113099999999996 53.84262100000000117);wind;600
Point (10.96103899999999953 53.84454600000000113);wind;600
Point (10.96577019999999969 53.8445461000000023);wind;600
Point (10.96646100000000068 53.84736999999999796);wind;600
Point (10.97047210000000028 53.84818560000000076);wind;600
Point (8.9860755000000001 54.1569166000000024);wind;600
Point (10.96220070000000035 53.84655260000000254);wind;600
Point (8.98645679999999913 54.15882479999999788);wind;600
Point (8.98278780000000054 54.15786210000000267);wind;600
Point (9.34823199999999943 53.71321600000000274);wind;600
Point (8.9901219999999995 54.1588169999999991);wind;600
Point (10.95845229999999937 53.8383427999999995);wind;600
Point (9.33867399999999925 53.70974700000000013);wind;600
Point (8.98354499999999945 54.44771800000000184);wind;2
